cubeta_id,cuenca,dist_divide_m,slope_s50,slope_s100,slope_s200,slope_s500,slope_s1000,slope_s2000,tpi_R500,tpi_R1000,tpi_R2000,tpi_R5000,vd_ord4,vd_ord6
CMR_1725,CMR,17049.47083342716,0.0548902451992034,0.089845523238182,0.1156727597117424,0.1108370274305343,0.0611410252749919,0.0486588925123214,-0.2424717098474502,0.0134615441784262,0.6770502924919128,1.0390725135803225,0.975027084350586,7.414843559265137
CMR_1726,CMR,17196.238130606882,0.2224945724010467,0.1402498632669448,0.1075385361909866,0.1170286983251571,0.0747829005122184,0.0495475567877292,-0.908078134059906,-0.8981261849403381,-0.4885367751121521,-0.3402013182640075,1.9973154067993164,8.916228294372559
CMR_1727,CMR,17336.88192306024,0.1933519840240478,0.1423655152320861,0.0940141007304191,0.1093061864376068,0.0710237100720405,0.0498756244778633,-0.5254636406898499,-0.3776044547557831,0.1829554736614227,0.3366532623767853,1.4619779586791992,8.30574893951416
CMR_1728,CMR,17540.610411309746,0.0869356393814086,0.0729481130838394,0.0712132900953292,0.0853970944881439,0.0573008581995964,0.0505825355648994,-0.7309094667434692,-0.3447008430957794,0.5345871448516846,0.7365878820419312,1.380279541015625,7.995972633361816
CMR_1729,CMR,17782.947147957286,0.1354049295186996,0.0800868049263954,0.0646673366427421,0.0639273300766944,0.0458045601844787,0.051955509930849,-0.7066904902458191,-0.147781640291214,0.9469327330589294,1.122167944908142,1.241011619567871,7.723127365112305
CMR_1730,CMR,18113.360782838983,0.0817227661609649,0.1214286088943481,0.0781675279140472,0.0325572155416011,0.0413612462580204,0.0555575266480445,-0.5126160979270935,0.2862919867038727,1.593052864074707,1.7222437858581543,1.0590829849243164,7.245119094848633
CMR_1731,CMR,18288.374795762888,0.1289740353822708,0.1123565956950187,0.049748308956623,0.0395955666899681,0.051392775028944,0.0575208328664302,-0.0984392389655113,0.756367027759552,2.0825858116149902,2.143568515777588,0.838313102722168,6.897810935974121
CMR_1732,CMR,18760.96887362357,0.084279716014862,0.1206392347812652,0.1079116463661193,0.0598450861871242,0.0605399124324321,0.0605169348418712,-0.0458153411746025,0.8292675614356995,2.26145076751709,2.087371587753296,0.7451248168945312,7.22031307220459
CMR_1733,CMR,18709.975689213323,0.2010867595672607,0.1860985904932022,0.1457447707653045,0.1105525866150856,0.0879702642560005,0.0626279488205909,-0.0827948078513145,0.7278493642807007,1.9019289016723635,1.7459701299667358,0.9016828536987304,7.455563545227051
CMR_1734,CMR,18974.3184761497,0.1989903599023819,0.237567514181137,0.2234117239713668,0.167101502418518,0.1137661337852478,0.0656983330845832,-0.7864595651626587,-0.2263849526643753,0.6633404493331909,0.3188897967338562,1.7110223770141602,8.968009948730469
CMR_1735,CMR,19252.617274989323,0.1617965996265411,0.1403744220733642,0.0828150510787963,0.0936376750469207,0.0941182076930999,0.0651100724935531,-0.3731289207935333,0.5187186598777771,1.790770173072815,1.3447751998901367,1.241541862487793,8.17597484588623
CMR_1736,CMR,19290.409012505934,0.1384395658969879,0.1341098845005035,0.1185976862907409,0.1116297245025634,0.1022913977503776,0.0657343119382858,-0.3865074217319488,0.4882078170776367,1.660807967185974,1.1844791173934937,1.2845478057861328,8.339207649230957
CMR_1737,CMR,19454.64870668596,0.3106228709220886,0.2344131022691726,0.1600220650434494,0.1382781118154525,0.1148912757635116,0.0669539868831634,-0.3172643184661865,0.5123061537742615,1.5236411094665527,0.9340700507164,1.4070301055908203,8.652125358581543
CMR_1738,CMR,19439.831661481425,0.1167665943503379,0.2246104925870895,0.2338298708200454,0.2168138921260833,0.1415573209524154,0.0680301412940025,-1.9279552698135376,-1.995322585105896,-1.7725692987442017,-2.493660926818848,3.4060583114624023,11.927047729492188
CMR_1739,CMR,19529.530065956464,0.1623968929052353,0.1922972202301025,0.1860940009355545,0.1688409149646759,0.1251952350139618,0.0675932839512825,-0.6281159520149231,0.0798093602061271,0.8952394127845764,0.2364551723003387,1.732680320739746,9.361151695251465
CMR_1748,CMR,24548.080002540424,0.2488252520561218,0.3294461667537689,0.3205188512802124,0.1625389754772186,0.1030120924115181,0.0783127695322036,-1.3652641773223877,-1.5087511539459229,-1.2788236141204834,-2.19421648979187,3.6194372177124015,12.954952239990234
CMR_1749,CMR,24559.900582150123,0.4590632617473602,0.5381540656089783,0.383405864238739,0.1611564606428146,0.1050817221403122,0.0782048851251602,-1.1103373765945437,-1.2409217357635498,-1.0535162687301636,-2.0784285068511963,3.3531198501586914,12.903639793395996
CMR_1750,CMR,24605.10805725108,0.7474247217178345,0.6884316205978394,0.4173581600189209,0.1603828370571136,0.1094731837511062,0.0778216049075126,-1.3365434408187866,-1.4366942644119265,-1.3574349880218506,-2.5943424701690674,3.4811086654663086,13.549142837524414
CMR_1751,CMR,27028.464157877355,0.3699935972690582,0.3510242104530334,0.3198526501655578,0.1678507626056671,0.0974855348467826,0.0757182389497757,-1.4610540866851809,-1.8186652660369875,-1.6205930709838867,-0.8893753886222839,3.254056930541992,12.101030349731444
CMR_1752,CMR,27078.97955671858,0.5584176182746887,0.3969822227954864,0.3156419992446899,0.1599426120519638,0.0964472219347953,0.0766410827636718,-0.6768306493759155,-1.1864970922470093,-1.0364540815353394,-0.3457115888595581,2.640765190124512,11.613170623779297
CMR_1753,CMR,27251.568823340192,0.2891744375228882,0.2731430232524872,0.1793785095214843,0.1123131364583969,0.0934264734387397,0.0784456953406333,-1.8723223209381104,-2.7331154346466064,-2.660247802734375,-2.050039291381836,4.294632911682129,13.468622207641602
CMR_1755,CMR,27445.98138596211,0.2260122895240783,0.2447724640369415,0.1775207221508026,0.0925613269209861,0.0910128206014633,0.0778033286333084,-1.8884607553482056,-2.815301418304444,-2.7010648250579834,-2.051732063293457,4.418596267700195,13.558177947998049
